Tool,Accuracy,Balanced Accuracy,Precision,Positive Recall,Negative Recall,F1 Score,MCC
DL4PatchCorrectness,0.50 (0.41-0.60),0.47 (0.37-0.56),0.33 (0.17-0.53),0.35 (0.17-0.53),0.58 (0.43-0.76),0.34 (0.18-0.49),-0.07 (-0.25-0.13)
FIXCHECK,0.47 (0.37-0.57),0.51 (0.44-0.60),0.38 (0.29-0.50),0.70 (0.54-0.85),0.33 (0.17-0.52),0.49 (0.39-0.60),0.03 (-0.15-0.21)
Invalidator,0.41 (0.31-0.51),0.51 (0.44-0.56),0.38 (0.29-0.48),0.89 (0.76-0.99),0.12 (0.03-0.24),0.53 (0.43-0.63),0.02 (-0.17-0.19)
LLM4PatchCorrectness,0.62 (0.53-0.71),0.57 (0.50-0.65),0.49 (0.36-0.67),0.37 (0.22-0.55),0.77 (0.63-0.90),0.42 (0.29-0.55),0.15 (-0.01-0.33)
entropy_delta,0.44 (0.35-0.53),0.51 (0.44-0.58),0.38 (0.28-0.49),0.79 (0.65-0.91),0.23 (0.09-0.38),0.51 (0.40-0.62),0.02 (-0.15-0.17)
