Tool,Accuracy,Balanced Accuracy,Precision,Positive Recall,Negative Recall,F1 Score,MCC
DL4PatchCorrectness,0.58 (0.50-0.65),0.48 (0.41-0.55),0.16 (0.10-0.24),0.32 (0.20-0.44),0.63 (0.54-0.73),0.21 (0.13-0.30),-0.04 (-0.15-0.07)
FIXCHECK,0.45 (0.35-0.54),0.53 (0.45-0.61),0.20 (0.14-0.27),0.67 (0.53-0.79),0.40 (0.29-0.52),0.30 (0.22-0.39),0.05 (-0.09-0.18)
Invalidator,0.42 (0.34-0.51),0.61 (0.54-0.68),0.22 (0.17-0.29),0.90 (0.81-0.98),0.31 (0.20-0.42),0.36 (0.29-0.43),0.19 (0.09-0.28)
LLM4PatchCorrectness,0.79 (0.73-0.84),0.65 (0.58-0.72),0.43 (0.30-0.56),0.43 (0.29-0.57),0.87 (0.81-0.93),0.43 (0.31-0.53),0.30 (0.17-0.42)
entropy_delta,0.51 (0.42-0.59),0.53 (0.44-0.62),0.20 (0.13-0.28),0.56 (0.43-0.69),0.49 (0.40-0.59),0.29 (0.21-0.38),0.04 (-0.10-0.18)
