Tool,Slope,Intercept,R_squared,P_value
entropy_delta,-0.0662,0.7986,0.6346,0.0102
Invalidator,-0.063,0.885,0.6361,0.01
FIXCHECK,-0.0802,0.7964,0.8712,0.0002
LLM4PatchCorrectness,-0.0335,0.5597,0.2612,0.1596
DL4PatchCorrectness,-0.0465,0.4669,0.6763,0.0065
