x,y,c
0,0,1.0
1,0,0.41
2,0,0.26
3,0,0.61
4,0,0.35
0,1,0.41
1,1,1.0
2,1,0.28
3,1,0.44
4,1,0.31
0,2,0.26
1,2,0.28
2,2,1.0
3,2,0.34
4,2,0.35
0,3,0.61
1,3,0.44
2,3,0.34
3,3,1.0
4,3,0.42
0,4,0.35
1,4,0.31
2,4,0.35
3,4,0.42
4,4,1.0
