Decile,entropy_delta,Invalidator,FIXCHECK,LLM4PatchCorrectness,DL4PatchCorrectness
1,0.74,1.0,0.71,0.43,0.49
2,0.72,0.68,0.72,0.52,0.29
3,0.67,0.78,0.45,0.48,0.37
4,0.49,0.42,0.38,0.45,0.33
5,0.48,0.52,0.46,0.39,0.08
6,0.07,0.5,0.4,0.44,0.16
7,0.41,0.32,0.32,0.22,0.28
8,0.43,0.54,0.05,0.6,0.05
9,0.2,0.37,0.07,0.0,0.06
