x,y,c
0,0,1.0
1,0,0.29
2,0,0.27
3,0,0.18
4,0,0.31
0,1,0.29
1,1,1.0
2,1,0.63
3,1,0.3
4,1,0.5
0,2,0.27
1,2,0.63
2,2,1.0
3,2,0.42
4,2,0.56
0,3,0.18
1,3,0.3
2,3,0.42
3,3,1.0
4,3,0.24
0,4,0.31
1,4,0.5
2,4,0.56
3,4,0.24
4,4,1.0
