Decile,entropy_delta,Invalidator,FIXCHECK,LLM4PatchCorrectness,DL4PatchCorrectness
1,0.8,1.0,0.8,0.2,0.2
2,0.6,0.8,0.8,0.53,0.6
3,0.53,1.0,0.8,0.93,0.4
4,0.52,0.72,0.66,0.41,0.25
5,0.59,0.64,0.54,0.59,0.32
6,0.52,0.47,0.52,0.23,0.31
7,0.31,0.41,0.16,0.11,0.05
8,0.33,0.36,0.09,0.35,0.17
9,0.17,0.45,0.05,0.2,0.0
