Tool,Slope,Intercept,R_squared,P_value
entropy_delta,-0.0628,0.7997,0.8405,0.0005
Invalidator,-0.0825,1.0625,0.8392,0.0005
FIXCHECK,-0.1092,1.0369,0.9131,0.0001
LLM4PatchCorrectness,-0.0393,0.5911,0.1754,0.2619
DL4PatchCorrectness,-0.0455,0.4831,0.4694,0.0417
