Approach,entropy_delta,Invalidator,FIXCHECK,LLM4PatchCorrectness,DL4PatchCorrectness
Avatar (16:117),-0.04,0.16,0.24,0.41,0.05
FixMiner (13:23),0.18,0.21,0.17,0.51,-0.03
Nopol (0:57),-0.00,-0.00,-0.00,0.00,0.00
SimFix (27:24),0.08,0.39,0.04,0.05,0.17
TBar (42:169),0.01,0.28,0.20,0.35,0.01
dynamoth (7:65),0.02,-0.23,0.04,0.13,0.16
jGenProg (2:66),-0.04,0.21,0.04,-0.04,-0.17
jKali (3:33),-0.07,0.29,-0.26,0.00,-0.21
jMutRepair (4:16),0.22,0.05,-0.29,0.00,-0.25
kPAR (13:101),-0.18,0.23,0.11,0.44,0.08
Overall,0.02,0.16,0.03,0.18,-0.02
