Tool,Accuracy,Balanced Accuracy,Precision,Positive Recall,Negative Recall,F1 Score,MCC
DL4PatchCorrectness,0.64 (0.55-0.72),0.49 (0.43-0.55),0.15 (0.09-0.22),0.27 (0.17-0.37),0.71 (0.61-0.80),0.19 (0.13-0.26),-0.02 (-0.12-0.08)
FIXCHECK,0.53 (0.42-0.64),0.59 (0.51-0.66),0.20 (0.15-0.27),0.67 (0.55-0.77),0.51 (0.36-0.64),0.31 (0.24-0.39),0.13 (0.01-0.23)
Invalidator,0.44 (0.37-0.52),0.63 (0.58-0.69),0.21 (0.16-0.27),0.91 (0.84-0.97),0.35 (0.26-0.45),0.34 (0.28-0.42),0.21 (0.13-0.28)
LLM4PatchCorrectness,0.80 (0.75-0.85),0.66 (0.60-0.72),0.40 (0.30-0.50),0.45 (0.32-0.57),0.87 (0.81-0.92),0.42 (0.33-0.50),0.30 (0.20-0.40)
entropy_delta,0.50 (0.40-0.60),0.52 (0.43-0.60),0.17 (0.11-0.25),0.54 (0.43-0.66),0.49 (0.38-0.60),0.26 (0.18-0.36),0.02 (-0.10-0.15)
