x,y,c
0,0,1.0
1,0,0.44
2,0,0.28
3,0,0.63
4,0,0.37
0,1,0.44
1,1,1.0
2,1,0.29
3,1,0.47
4,1,0.32
0,2,0.28
1,2,0.29
2,2,1.0
3,2,0.37
4,2,0.38
0,3,0.63
1,3,0.47
2,3,0.37
3,3,1.0
4,3,0.46
0,4,0.37
1,4,0.32
2,4,0.38
3,4,0.46
4,4,1.0
