x,y,c
0,0,1.0
1,0,0.32
2,0,0.23
3,0,0.21
4,0,0.26
0,1,0.32
1,1,1.0
2,1,0.62
3,1,0.3
4,1,0.47
0,2,0.23
1,2,0.62
2,2,1.0
3,2,0.45
4,2,0.5
0,3,0.21
1,3,0.3
2,3,0.45
3,3,1.0
4,3,0.24
0,4,0.26
1,4,0.47
2,4,0.5
3,4,0.24
4,4,1.0
