Decile,entropy_delta,Invalidator,FIXCHECK,LLM4PatchCorrectness,DL4PatchCorrectness
1,1.0,0.6,0.8,0.6,0.4
2,1.0,1.0,0.8,0.6,0.2
3,0.73,0.91,0.41,0.57,0.53
4,0.43,0.75,0.44,0.13,0.3
5,0.4,0.54,0.67,0.6,0.0
6,0.35,0.6,0.32,0.11,0.1
7,0.4,0.43,0.43,0.1,0.1
8,0.38,0.35,0.18,0.08,0.35
9,0.06,0.24,0.19,0.24,0.06
