x,y,c
0,0,1.0
1,0,0.25
2,0,0.34
3,0,0.12
4,0,0.38
0,1,0.25
1,1,1.0
2,1,0.64
3,1,0.29
4,1,0.57
0,2,0.34
1,2,0.64
2,2,1.0
3,2,0.36
4,2,0.68
0,3,0.12
1,3,0.29
2,3,0.36
3,3,1.0
4,3,0.26
0,4,0.38
1,4,0.57
2,4,0.68
3,4,0.26
4,4,1.0
