Bug,entropy_delta,Invalidator,FIXCHECK,LLM4PatchCorrectness,DL4PatchCorrectness
Math-7 (0:5),0.00,0.00,0.00,0.00,0.00
Math-8 (0:25),0.00,0.00,0.00,0.00,0.00
Math-11 (15:0),0.00,1.00,1.00,1.00,0.00
Math-15 (0:5),0.00,0.00,0.00,0.00,0.00
Math-20 (0:5),0.00,0.00,0.00,0.00,0.00
Math-28 (0:70),0.00,0.00,0.00,0.00,0.00
Math-30 (20:30),0.40,0.50,0.57,0.80,0.00
Math-32 (0:10),0.00,0.00,0.00,0.00,0.00
Math-33 (15:485),0.06,0.08,0.19,0.00,0.00
Math-34 (10:0),0.00,1.00,1.00,0.00,1.00
Math-41 (0:20),0.00,0.00,0.00,0.00,0.00
Math-42 (0:5),0.00,0.00,0.00,0.00,0.00
Math-49 (0:20),0.00,0.00,0.00,0.00,0.00
Math-50 (45:365),0.00,0.20,0.28,0.35,0.19
Math-53 (5:10),1.00,0.50,0.50,0.00,1.00
Math-57 (10:10),0.80,0.67,0.80,0.50,0.00
Math-58 (5:90),0.00,0.11,0.00,1.00,0.00
Math-59 (10:0),0.67,1.00,1.00,0.67,0.00
Math-62 (0:20),0.00,0.00,0.00,0.00,0.00
Math-63 (0:20),0.00,0.00,0.00,0.00,0.00
Math-64 (0:5),0.00,0.00,0.00,0.00,0.00
Math-65 (5:0),1.00,0.00,0.00,1.00,0.00
Math-69 (0:5),0.00,0.00,0.00,0.00,0.00
Math-70 (15:10),0.50,0.57,0.75,0.80,0.67
Math-71 (0:5),0.00,0.00,0.00,0.00,0.00
Math-73 (0:10),0.00,0.00,0.00,0.00,0.00
Math-75 (15:0),0.50,1.00,1.00,0.00,0.00
Math-79 (5:15),0.40,0.40,0.00,0.00,0.00
Math-80 (5:235),0.22,1.00,0.04,0.00,0.00
Math-81 (0:35),0.00,0.00,0.00,0.00,0.00
Math-82 (15:85),0.50,0.27,0.00,0.40,0.00
Math-84 (0:15),0.00,0.00,0.00,0.00,0.00
Math-85 (20:255),0.17,0.18,0.00,0.00,0.25
Math-88 (0:10),0.00,0.00,0.00,0.00,0.00
Math-89 (15:0),1.00,1.00,1.00,0.00,1.00
Math-95 (0:20),0.00,0.00,0.00,0.00,0.00
Math-96 (0:5),0.00,0.00,0.00,0.00,0.00
Math-97 (0:5),0.00,0.00,0.00,0.00,0.00
Math-101 (0:5),0.00,0.00,0.00,0.00,0.00
Math-105 (0:5),0.00,0.00,0.00,0.00,0.00
Mockito-29 (10:25),0.29,0.44,0.44,0.00,0.00
Mockito-38 (20:0),0.86,0.86,1.00,0.00,0.00
Time-7 (20:20),0.60,0.67,0.00,1.00,0.80
Time-11 (0:5),0.00,0.00,0.00,0.00,0.00
Overall,0.24,0.32,0.24,0.19,0.13
