x,y,c
0,0,1.0
1,0,0.41
2,0,0.26
3,0,0.21
4,0,0.26
0,1,0.41
1,1,1.0
2,1,0.61
3,1,0.29
4,1,0.51
0,2,0.26
1,2,0.61
2,2,1.0
3,2,0.42
4,2,0.5
0,3,0.21
1,3,0.29
2,3,0.42
3,3,1.0
4,3,0.21
0,4,0.26
1,4,0.51
2,4,0.5
3,4,0.21
4,4,1.0
