x,y,c
0,0,1.0
1,0,0.3
2,0,0.23
3,0,0.55
4,0,0.36
0,1,0.3
1,1,1.0
2,1,0.24
3,1,0.37
4,1,0.32
0,2,0.23
1,2,0.24
2,2,1.0
3,2,0.33
4,2,0.4
0,3,0.55
1,3,0.37
2,3,0.33
3,3,1.0
4,3,0.49
0,4,0.36
1,4,0.32
2,4,0.4
3,4,0.49
4,4,1.0
